SEX;Total;Males;Females
GEO/TIME;2013;2013;2013
Belgium;8,4;8,6;8,2
Bulgaria;12,9;13,9;11,8
Czech Republic;7,0;5,9;8,3
Denmark;7,0;6,7;7,3
Germany (until 1990 former territory of the FRG);5,3;5,6;5,0
Estonia;8,6;9,1;8,2
Ireland;13,0;15,0;10,7
Greece;27,5;24,5;31,3
Spain;26,1;25,6;26,7
France;10,3;10,4;10,2
Italy;12,2;11,5;13,1
Cyprus;15,9;16,5;15,2
Latvia;11,9;12,6;11,1
Lithuania;11,8;13,1;10,5
Hungary;10,2;10,2;10,2
Netherlands;6,7;7,1;6,3
Austria;4,9;4,9;4,9
Poland;10,3;9,7;11,1
Portugal;16,2;16,0;16,4
Romania;7,3;7,9;6,6
Slovenia;10,1;9,4;10,9
Slovakia;14,2;14,0;14,5
Finland;8,2;8,8;7,5
Sweden;8,1;8,2;7,9
United Kingdom;7,5;7,9;7,0
Iceland;5,4;5,6;5,1
Norway;3,4;3,6;3,2
Switzerland;4,4;4,3;4,5
Former Yugoslav Republic of Macedonia, the;29,0;29,0;29,0
Turkey;8,7;7,9;10,6
;;;
;;;
;;;
